Season,TeamName,CoachName,FirstDayNum,LastDayNum
1985,Air Force,reggie_minton,0,154
1985,Akron,bob_huggins,0,154
1985,Alabama,wimp_sanderson,0,154
1985,Alabama St,james_oliver,0,154
1985,Alcorn St,davey_whitney,0,154
1985,Alliant Intl,freddie_goss,0,154
1985,American Univ,ed_tapscott,0,154
1985,Appalachian St,kevin_cantwell,0,154
1985,Arizona,lute_olson,0,154
1985,Arizona St,bob_weinhauer,0,154
1985,Ark Little Rock,mike_newell,0,154
1985,Arkansas,eddie_sutton,0,154
1985,Arkansas St,nelson_catalina,0,154
1985,Army,les_wothke,0,154
1985,Auburn,sonny_smith,0,154
1985,Augusta,marvin_vanover,0,154
1985,Austin Peay,howard_jackson,0,154
1985,BYU,ladell_andersen,0,154
1985,Ball St,al_brown,0,154
1985,Baylor,jim_haller,0,154
1985,Bethune-Cookman,cy_mcclairen,0,154
1985,Boise St,bobby_dye,0,154
1985,Boston College,gary_williams,0,154
1985,Boston Univ,john_kuester,0,154
1985,Bowling Green,john_weinert,0,154
1985,Bradley,dick_versace,0,154
1985,Brooklyn,mark_reiner,0,154
1985,Brown,mike_cingiser,0,154
1985,Bucknell,charles_woollum,0,154
1985,Butler,joe_sexson,0,154
1985,C Michigan,dick_parfitt,0,154
1985,CS Fullerton,george_mcquarn,0,154
1985,California,dick_kuchen,0,154
1985,Campbell,jerry_smith,0,154
1985,Canisius,nick_macarchuk,0,154
1985,Centenary,tommy_canterbury,0,154
1985,Charleston So,tommy_gaither,0,154
1985,Charlotte,hal_wissel,0,154
1985,Chattanooga,murray_arnold,0,154
1985,Chicago St,bob_hallberg,0,154
1985,Cincinnati,tony_yates,0,154
1985,Citadel,les_robinson,0,154
1985,Clemson,cliff_ellis,0,154
1985,Cleveland St,kevin_mackey,0,154
1985,Colgate,tony_relvas,0,154
1985,Colorado,tom_apke,0,154
1985,Colorado St,tony_mcandrews,0,154
1985,Columbia,wayne_szoke,0,154
1985,Connecticut,dom_perno,0,154
1985,Cornell,tom_miller,0,154
1985,Creighton,willie_reed,0,154
1985,Dartmouth,paul_cormier,0,154
1985,Davidson,bobby_hussey,0,154
1985,Dayton,don_donoher,0,154
1985,DePaul,joey_meyer,0,154
1985,Delaware,ron_rainey,0,154
1985,Delaware St,joe_dean_davidson,0,154
1985,Detroit,don_sicko,0,154
1985,Drake,gary_garner,0,154
1985,Drexel,eddie_burke,0,154
1985,Duke,mike_krzyzewski,0,154
1985,Duquesne,jim_satalin,0,154
1985,E Illinois,rick_samuels,0,154
1985,E Kentucky,max_good,0,154
1985,E Michigan,jim_boyce,0,154
1985,E Washington,jerry_krause,0,154
1985,ETSU,barry_dowd,0,154
1985,East Carolina,charlie_harrison,0,154
1985,Evansville,dick_walters,0,154
1985,F Dickinson,tom_green,0,154
1985,Fairfield,terry_o'connor,0,154
1985,Florida,norm_sloan,0,154
1985,Florida A&M,willie_booker,0,154
1985,Florida St,joe_williams,0,154
1985,Fordham,thomas_penders,0,154
1985,Fresno St,tiny_grant,0,154
1985,Furman,jene_davis,0,154
1985,G Washington,gerry_gimelstob,0,154
1985,Ga Southern,frank_kerns,0,154
1985,George Mason,joe_harrington,0,154
1985,Georgetown,john_thompson_jr,0,154
1985,Georgia,hugh_durham,0,154
1985,Georgia St,tom_pugliese,0,36
1985,Georgia St,mark_slonaker,37,154
1985,Georgia Tech,bobby_cremins,0,154
1985,Gonzaga,jay_hillock,0,154
1985,Grambling,fred_hobdy,0,154
1985,Hardin-Simmons,dick_danford,0,154
1985,Hartford,jack_phelan,0,154
1985,Harvard,frank_mclaughlin,0,154
1985,Hawaii,larry_little,0,154
1985,Hofstra,dick_berg,0,154
1985,Holy Cross,george_blaney,0,154
1985,Houston,guy_lewis,0,154
1985,Houston Chr,gene_iba,0,154
1985,Howard,a_b_williamson,0,154
1985,IL Chicago,willie_little,0,154
1985,Idaho,bill_trumbo,0,154
1985,Idaho St,wayne_ballard,0,154
1985,Illinois,lou_henson,0,154
1985,Illinois St,bob_donewald,0,154
1985,Indiana,bob_knight,0,154
1985,Indiana St,dave_schellhase,0,154
1985,Iona,pat_kennedy,0,154
1985,Iowa,george_raveling,0,154
1985,Iowa St,johnny_orr,0,154
1985,Jackson St,paul_covington,0,154
1985,Jacksonville,bob_wenzel,0,154
1985,James Madison,lou_campanelli,0,154
1985,Kansas,larry_brown,0,154
1985,Kansas St,jack_hartman,0,154
1985,Kent,jim_mcdonald,0,154
1985,Kentucky,joe_b_hall,0,154
1985,LIU Brooklyn,paul_lizzo,0,154
1985,LSU,dale_brown,0,154
1985,La Salle,lefty_ervin,0,154
1985,Lafayette,butch_van_breda_kolff,0,154
1985,Lamar,pat_foster,0,154
1985,Lehigh,tom_schneider,0,154
1985,Long Beach St,ron_palmer,0,154
1985,Louisiana,bobby_paschal,0,154
1985,Louisiana Tech,andy_russo,0,154
1985,Louisville,denny_crum,0,154
1985,Loy Marymount,ed_goorjian,0,154
1985,Loyola MD,mark_amatucci,0,154
